Model,Accuracy,Precision,Recall,F1,ROC_AUC
Naive Bayes,0.9766816143497757,0.992,0.8322147651006712,0.9051094890510949,0.9863687523448248
Logistic Regression,0.9704035874439462,1.0,0.7785234899328859,0.8754716981132076,0.9852154459682911
Linear SVM,0.9820627802690582,0.9849624060150376,0.8791946308724832,0.9290780141843972,
Random Forest,0.9775784753363229,1.0,0.8322147651006712,0.9084249084249084,0.9819083746717245
